iter	Passed	Remaining
327	3843	7873
328	3847	7847
329	3852	7822
330	3857	7796
331	3861	7770
332	3866	7743
333	3870	7717
334	3874	7691
335	3879	7666
336	3883	7640
337	3888	7615
338	3892	7589
339	3898	7568
340	3903	7543
341	3908	7519
342	3913	7495
343	3918	7471
344	3922	7447
345	3927	7423
346	3931	7398
347	3935	7373
348	3939	7348
349	3944	7325
350	3949	7301
351	3953	7278
352	3958	7255
353	3962	7231
354	3967	7207
355	3971	7183
356	3975	7160
357	3979	7137
358	3984	7113
359	3988	7091
360	3992	7067
361	3997	7045
362	4001	7022
363	4006	7000
364	4011	6978
365	4015	6955
366	4019	6932
367	4023	6910
368	4028	6888
369	4032	6866
370	4036	6844
371	4041	6822
372	4045	6800
373	4050	6779
374	4055	6758
375	4059	6737
376	4064	6716
377	4069	6696
378	4074	6675
379	4078	6654
380	4083	6633
381	4087	6612
382	4091	6591
383	4095	6570
384	4100	6549
385	4104	6528
386	4108	6507
387	4112	6487
388	4117	6467
389	4121	6447
390	4126	6427
391	4130	6406
392	4134	6386
393	4139	6366
394	4144	6347
395	4148	6327
396	4153	6308
397	4157	6289
398	4162	6270
399	4167	6251
400	4172	6232
401	4178	6215
402	4182	6196
403	4186	6176
404	4191	6157
405	4197	6140
406	4202	6122
407	4207	6104
408	4212	6086
409	4216	6067
410	4221	6050
411	4226	6031
412	4230	6013
413	4235	5994
414	4239	5976
415	4244	5958
416	4248	5940
417	4253	5922
418	4259	5905
419	4263	5887
420	4268	5870
421	4273	5853
422	4278	5836
423	4282	5817
424	4287	5800
425	4291	5782
426	4295	5764
427	4299	5746
428	4305	5731
429	4310	5714
430	4315	5697
431	4320	5680
432	4324	5663
433	4329	5646
434	4334	5629
435	4338	5612
436	4343	5595
437	4347	5578
438	4351	5561
439	4356	5544
440	4361	5528
441	4365	5511
442	4370	5495
443	4374	5478
444	4379	5461
445	4383	5444
446	4388	5428
447	4393	5413
448	4398	5397
449	4402	5380
450	4406	5364
451	4412	5349
452	4417	5333
453	4422	5318
454	4426	5302
455	4431	5286
456	4435	5270
457	4440	5254
458	4444	5238
459	4448	5222
460	4453	5207
461	4458	5191
462	4463	5176
463	4467	5160
464	4472	5145
465	4476	5130
466	4481	5114
467	4486	5099
468	4490	5084
469	4494	5068
470	4498	5052
471	4503	5037
472	4508	5023
473	4513	5008
474	4517	4993
475	4522	4978
476	4526	4962
477	4530	4947
478	4535	4932
479	4539	4918
480	4544	4903
481	4549	4889
482	4553	4873
483	4557	4859
484	4562	4845
485	4567	4830
486	4572	4816
487	4576	4801
488	4581	4787
489	4585	4772
490	4590	4758
491	4595	4744
492	4599	4730
493	4603	4715
494	4608	4701
495	4613	4687
496	4617	4673
497	4622	4659
498	4626	4645
499	4631	4631
500	4636	4617
501	4640	4603
502	4645	4590
503	4651	4577
504	4655	4563
505	4662	4552
506	4668	4539
507	4673	4526
508	4680	4515
509	4685	4501
510	4689	4487
511	4694	4474
512	4698	4460
513	4703	4447
514	4709	4435
515	4714	4421
516	4719	4408
517	4723	4395
518	4728	4381
519	4732	4368
520	4737	4355
521	4742	4342
522	4746	4329
523	4751	4316
524	4757	4304
525	4763	4292
526	4768	4280
527	4774	4267
528	4779	4255
529	4784	4242
530	4788	4229
531	4792	4216
532	4797	4203
533	4802	4190
534	4806	4177
535	4811	4164
536	4816	4152
537	4820	4139
538	4825	4127
539	4830	4114
540	4834	4101
541	4838	4088
542	4843	4076
543	4848	4064
544	4852	4051
545	4857	4039
546	4862	4026
547	4866	4014
548	4871	4001
549	4875	3989
550	4879	3976
551	4884	3963
552	4889	3952
553	4894	3940
554	4898	3927
555	4903	3915
556	4908	3904
557	4913	3891
558	4917	3879
559	4922	3867
560	4926	3855
561	4930	3842
562	4935	3830
563	4939	3818
564	4943	3806
565	4948	3794
566	4953	3782
567	4957	3770
568	4962	3758
569	4967	3747
570	4971	3735
571	4976	3723
572	4980	3711
573	4984	3699
574	4989	3687
575	4993	3676
576	4998	3664
577	5003	3653
578	5008	3641
579	5012	3629
580	5016	3617
581	5020	3606
582	5025	3594
583	5030	3583
584	5034	3571
585	5038	3559
586	5043	3548
587	5048	3537
588	5053	3526
589	5058	3515
590	5063	3504
591	5068	3493
592	5072	3481
593	5077	3470
594	5082	3459
595	5086	3447
596	5091	3436
597	5095	3425
598	5099	3413
599	5103	3402
600	5108	3391
601	5112	3379
602	5116	3368
603	5121	3357
604	5125	3346
605	5129	3335
606	5134	3323
607	5138	3312
608	5142	3301
609	5146	3290
610	5151	3279
611	5155	3268
612	5159	3257
613	5163	3246
614	5168	3235
615	5173	3224
616	5177	3214
617	5182	3203
618	5186	3192
619	5191	3181
620	5196	3171
621	5201	3160
622	5205	3150
623	5210	3139
624	5215	3129
625	5221	3119
626	5226	3109
627	5230	3098
628	5235	3088
629	5239	3077
630	5244	3066
631	5250	3057
632	5254	3046
633	5258	3035
634	5263	3025
635	5268	3015
636	5272	3004
637	5277	2994
638	5282	2984
639	5287	2974
640	5292	2964
641	5297	2954
642	5302	2943
643	5306	2933
644	5311	2923
645	5315	2912
646	5319	2902
647	5324	2892
648	5328	2882
649	5333	2872
650	5338	2862
651	5343	2852
652	5348	2842
653	5352	2831
654	5357	2821
655	5361	2811
656	5365	2801
657	5370	2791
658	5375	2781
659	5380	2771
660	5389	2763
661	5394	2754
662	5398	2744
663	5403	2734
664	5408	2724
665	5412	2714
666	5416	2704
667	5420	2694
668	5425	2684
669	5429	2674
670	5434	2664
671	5438	2654
672	5442	2644
673	5447	2634
674	5451	2624
675	5455	2614
676	5459	2604
677	5464	2595
678	5468	2585
679	5473	2575
680	5477	2566
681	5482	2556
682	5486	2546
683	5490	2536
684	5494	2526
685	5498	2516
686	5503	2507
687	5507	2497
688	5511	2487
689	5516	2478
690	5520	2468
691	5525	2459
692	5529	2449
693	5533	2440
694	5538	2430
695	5542	2420
696	5546	2411
697	5550	2401
698	5555	2392
699	5559	2382
700	5564	2373
701	5568	2364
702	5573	2354
703	5577	2345
704	5582	2335
705	5587	2326
706	5592	2317
707	5596	2308
708	5601	2299
709	5606	2289
710	5610	2280
711	5614	2271
712	5618	2261
713	5622	2252
714	5627	2243
715	5633	2234
716	5639	2225
717	5643	2216
718	5648	2207
719	5653	2198
720	5658	2189
721	5664	2180
722	5669	2172
723	5673	2162
724	5678	2153
725	5683	2144
726	5687	2135
727	5691	2126
728	5697	2118
729	5703	2109
730	5708	2100
731	5714	2092
732	5718	2082
733	5722	2074
734	5727	2065
735	5732	2056
736	5739	2048
737	5744	2039
738	5749	2030
739	5754	2021
740	5759	2012
741	5763	2004
742	5768	1995
743	5772	1986
744	5777	1977
745	5782	1968
746	5787	1960
747	5792	1951
748	5796	1942
749	5801	1933
750	5805	1924
751	5810	1916
752	5814	1907
753	5818	1898
754	5823	1889
755	5827	1880
756	5831	1871
757	5835	1863
758	5839	1854
759	5843	1845
760	5848	1836
761	5852	1827
762	5856	1819
763	5861	1810
764	5866	1802
765	5870	1793
766	5874	1784
767	5879	1776
768	5884	1767
769	5889	1759
770	5893	1750
771	5898	1741
772	5902	1733
773	5906	1724
774	5910	1716
775	5916	1707
776	5921	1699
777	5925	1690
778	5931	1682
779	5935	1674
780	5940	1665
781	5944	1657
782	5949	1648
783	5954	1640
784	5958	1631
785	5962	1623
786	5967	1614
787	5971	1606
788	5976	1598
789	5980	1589
790	5985	1581
791	5990	1573
792	5994	1564
793	5998	1556
794	6003	1547
795	6007	1539
796	6012	1531
797	6016	1523
798	6021	1514
799	6025	1506
800	6030	1498
801	6036	1490
802	6041	1482
803	6046	1473
804	6051	1465
805	6056	1457
806	6060	1449
807	6065	1441
808	6069	1433
809	6074	1424
810	6078	1416
811	6083	1408
812	6088	1400
813	6092	1392
814	6097	1384
815	6102	1376
816	6106	1367
817	6112	1359
818	6118	1352
819	6123	1344
820	6130	1336
821	6135	1328
822	6140	1320
823	6146	1312
824	6151	1304
825	6157	1297
826	6163	1289
827	6168	1281
828	6173	1273
829	6179	1265
830	6184	1257
831	6190	1249
832	6195	1242
833	6200	1234
834	6206	1226
835	6212	1218
836	6218	1210
837	6224	1203
838	6231	1195
839	6236	1187
840	6242	1180
841	6249	1172
842	6255	1165
843	6262	1157
844	6267	1149
845	6273	1142
846	6278	1134
847	6284	1126
848	6290	1118
849	6296	1111
850	6301	1103
851	6307	1095
852	6313	1087
853	6318	1080
854	6323	1072
855	6329	1064
856	6335	1057
857	6340	1049
858	6346	1041
859	6351	1034
860	6357	1026
861	6363	1018
862	6369	1011
863	6375	1003
864	6381	995
865	6386	988
866	6392	980
867	6398	972
868	6404	965
869	6409	957
870	6415	950
871	6421	942
872	6427	935
873	6432	927
874	6438	919
875	6444	912
876	6449	904
877	6455	896
878	6461	889
879	6466	881
880	6472	874
881	6478	866
882	6483	859
883	6489	851
884	6495	844
885	6501	836
886	6506	828
887	6512	821
888	6518	813
889	6524	806
890	6530	798
891	6536	791
892	6542	783
893	6547	776
894	6553	768
895	6559	761
896	6565	753
897	6571	746
898	6577	739
899	6584	731
900	6590	724
901	6595	716
902	6601	709
903	6610	702
904	6618	694
905	6625	687
906	6632	680
907	6640	672
908	6647	665
909	6654	658
910	6660	650
911	6666	643
912	6672	635
913	6678	628
914	6683	620
915	6689	613
916	6695	606
917	6702	598
918	6708	591
919	6715	583
920	6722	576
921	6728	569
922	6735	561
923	6741	554
924	6747	547
925	6754	539
926	6761	532
927	6767	525
928	6772	517
929	6778	510
930	6784	502
931	6791	495
932	6795	488
933	6801	480
934	6807	473
935	6813	465
936	6819	458
937	6824	451
938	6830	443
939	6836	436
940	6842	429
941	6848	421
942	6853	414
943	6858	406
944	6864	399
945	6870	392
946	6876	384
947	6882	377
948	6887	370
949	6893	362
950	6898	355
951	6903	348
952	6909	340
953	6915	333
954	6920	326
955	6926	318
956	6931	311
957	6937	304
958	6942	296
959	6947	289
960	6952	282
961	6958	274
962	6964	267
963	6969	260
964	6974	252
965	6979	245
966	6984	238
967	6989	231
968	6994	223
969	6999	216
970	7004	209
971	7009	201
972	7015	194
973	7020	187
974	7025	180
975	7033	172
976	7040	165
977	7045	158
978	7051	151
979	7056	144
980	7061	136
981	7067	129
982	7074	122
983	7080	115
984	7086	107
985	7092	100
986	7097	93
987	7103	86
988	7108	79
989	7113	71
990	7119	64
991	7125	57
992	7130	50
993	7137	43
994	7142	35
995	7147	28
996	7154	21
997	7159	14
998	7164	7
999	7171	0
