iter	Logloss
0	0.6830985529
1	0.6729251923
2	0.6617248129
3	0.651339353
4	0.6432255539
5	0.6321416058
6	0.6225347913
7	0.6133378358
8	0.6049555436
9	0.5955892702
10	0.5877558177
11	0.5797107389
12	0.5713335355
13	0.563589797
14	0.5556568607
15	0.5466349832
16	0.5389403214
17	0.5327148797
18	0.5243831384
19	0.5161775954
20	0.5076538823
21	0.4996712417
22	0.492842666
23	0.4868408054
24	0.4803282536
25	0.4737817982
26	0.4681112339
27	0.4630784601
28	0.4567380301
29	0.4501387354
30	0.4435440879
31	0.4373385573
32	0.4313159498
33	0.4252653907
34	0.4199760353
35	0.4146973455
36	0.4094920451
37	0.4054654121
38	0.399858113
39	0.3956152923
40	0.3902673014
41	0.3854709232
42	0.3811496334
43	0.3760022929
44	0.3703929253
45	0.365495335
46	0.3612570567
47	0.3560059264
48	0.3518600419
49	0.3477377039
50	0.3447461616
51	0.3401941068
52	0.3357063141
53	0.3314161109
54	0.328160693
55	0.3243633668
56	0.3207620957
57	0.3172845694
58	0.3138779441
59	0.3114015027
60	0.3077270031
61	0.3040732157
62	0.3010337335
63	0.2979992977
64	0.294254807
65	0.2906715866
66	0.2869531031
67	0.2841770817
68	0.2818971245
69	0.2789900569
70	0.2760842019
71	0.2736185047
72	0.2708165368
73	0.268133318
74	0.2663344566
75	0.2635780169
76	0.2608356976
77	0.2582998351
78	0.2556160007
79	0.2529053007
80	0.2497265857
81	0.2467954188
82	0.2437987889
83	0.241220483
84	0.2390466261
85	0.2365498654
86	0.2341438387
87	0.231761666
88	0.2301187525
89	0.2286201193
90	0.2259851634
91	0.2240733998
92	0.2222984297
93	0.220116673
94	0.2172489835
95	0.215058488
96	0.213707417
97	0.2116847401
98	0.2094000706
99	0.2074424776
100	0.2056927349
101	0.2034900292
102	0.20163332
103	0.1997173952
104	0.1980812638
105	0.1964820875
106	0.1949933198
107	0.1934278602
108	0.1918945499
109	0.1909769785
110	0.1893691077
111	0.1882454177
112	0.1866901902
113	0.1854524494
114	0.1840330175
115	0.1823878917
116	0.1812781338
117	0.180268202
118	0.1790486555
119	0.1783127835
120	0.1771378828
121	0.1759414626
122	0.1748420185
123	0.1737043049
124	0.1721329582
125	0.170818215
126	0.1696493689
127	0.1681585607
128	0.1669519659
129	0.1658696361
130	0.1644403878
131	0.1632603429
132	0.1619742512
133	0.160839852
134	0.1598641888
135	0.1589385839
136	0.1577883925
137	0.1569870293
138	0.1559895325
139	0.1548462008
140	0.1539532492
141	0.1528664885
142	0.1519990761
143	0.1506793534
144	0.1496997403
145	0.1485525207
146	0.1473493218
147	0.1466964715
148	0.1456358935
149	0.1445771328
150	0.1435543066
151	0.1425383549
152	0.1415695263
153	0.1404254444
154	0.1394482927
155	0.1385275515
156	0.1376459337
157	0.1368041257
158	0.1359986967
159	0.1352857618
160	0.1344578099
161	0.1333905877
162	0.1327294333
163	0.1321822989
164	0.1312737487
165	0.1303839522
166	0.1295828891
167	0.1289152957
168	0.1281035266
169	0.1272381223
170	0.1265925131
171	0.125931046
172	0.1254643521
173	0.1247217707
174	0.1241315054
175	0.1235162816
176	0.1229380852
177	0.1223072923
178	0.1216070505
179	0.1211065952
180	0.1205354128
181	0.1197144585
182	0.1190096417
183	0.1181577579
184	0.117554485
185	0.1168664528
186	0.1161117969
187	0.1155454593
188	0.1149049502
189	0.1143529863
190	0.1136569115
191	0.1132301963
192	0.1127382923
193	0.1122108564
194	0.1115362621
195	0.1108226479
196	0.1102150487
197	0.1097374934
198	0.1092388827
199	0.1087093815
200	0.1082231787
201	0.1076693794
202	0.1070302213
203	0.1065344468
204	0.1059204565
205	0.1052891874
206	0.1048255236
207	0.1042685771
208	0.1035218764
209	0.103047518
210	0.1025624031
211	0.1021319172
212	0.1015438643
213	0.1011475546
214	0.1003542133
215	0.09998198919
216	0.09944914119
217	0.09893662351
218	0.09838380907
219	0.09794281766
220	0.09743762984
221	0.09694650442
222	0.09650704511
223	0.09592883119
224	0.09546740595
225	0.09498074918
226	0.09438112505
227	0.0940326768
228	0.0937074519
229	0.09333753513
230	0.09295405619
231	0.09265343638
232	0.09221579378
233	0.09180620157
234	0.09133186476
235	0.09085695516
236	0.09054629831
237	0.09021652614
238	0.08975842749
239	0.08951342049
240	0.08912055187
241	0.08872822844
242	0.08834058009
243	0.08789429
244	0.08759553793
245	0.08720370802
246	0.08679362924
247	0.08646424191
248	0.0859900143
249	0.08560741213
250	0.08524229185
251	0.08494233692
252	0.0846302418
253	0.08426286085
254	0.08388414548
255	0.08358866926
256	0.08324300359
257	0.08293668293
258	0.08255680446
259	0.08231740707
260	0.08189862115
261	0.08165718815
262	0.08126787782
263	0.08100013627
264	0.08058132828
265	0.08025469449
266	0.07987555629
267	0.07951839319
268	0.0791811278
269	0.07882622225
270	0.07855016732
271	0.07818590776
272	0.07792579911
273	0.07770099472
274	0.07736356514
275	0.07703601339
276	0.07664454651
277	0.0762527066
278	0.07593550505
279	0.07563925747
280	0.07535007844
281	0.07501173024
282	0.0746581837
283	0.07446847096
284	0.07424094492
285	0.0739777798
286	0.07372408999
287	0.07343630924
288	0.07308114812
289	0.07288726928
290	0.07262826822
291	0.07218984394
292	0.07184012238
293	0.07142991815
294	0.07118620229
295	0.07090434275
296	0.07070750981
297	0.07047051587
298	0.07032728495
299	0.07011709304
300	0.06984910967
301	0.06958056405
302	0.0693290965
303	0.06910632413
304	0.0689183302
305	0.06871491794
306	0.0684138534
307	0.06818338145
308	0.06785680928
309	0.06761315393
310	0.06729480675
311	0.06707131941
312	0.06685712624
313	0.06661414656
314	0.06639545406
315	0.06610219665
316	0.06582478882
317	0.0656183431
318	0.06541555101
319	0.06525266796
320	0.06499531544
321	0.06483956791
322	0.06460403678
323	0.06440579804
324	0.06418888018
325	0.06396741889
326	0.06382892865
327	0.06361651322
328	0.06340919276
329	0.06324715331
330	0.06312830312
331	0.06294990876
332	0.06278332651
333	0.06247610965
334	0.06233367405
335	0.06207911047
336	0.0619413908
337	0.06174650068
338	0.06159077581
339	0.06143346575
340	0.06130766481
341	0.06112669369
342	0.06096745747
343	0.06076706715
344	0.06057756504
345	0.06037101694
346	0.06020487519
347	0.05994237426
